,id,addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,longitude,name,opening_hours,tags,website,coordinates,location_id,zone
36,89,New York,165,10002.0,East Broadway,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9899544 40.7139131),40.7139131,-73.9899544,Reena Spauldings Fine Art,Th-Su 12:00-18:00,gallery,https://www.reenaspaulings.com/,POINT (-73.9899544 40.7139131),232,Two Bridges/Seward Park
37,90,New York,191,10002.0,Henry Street,Lazy Susan Gallery is a creative project space with a revolving roster of curators and artists. Open January 2016 in the Lower East Side of NYC.,POINT (-73.9879511 40.7137046),40.7137046,-73.9879511,Lazy Susan Gallery,Mo-Su 12:00-18:00,gallery,http://lazysusan.nyc,POINT (-73.9879511 40.7137046),232,Two Bridges/Seward Park
38,94,New York,17,10011.0,West 17th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9932713 40.7385275),40.7385275,-73.9932713,The 8th Floor Gallery,Th-Sa 11:00-18:00,gallery,https://www.the8thfloor.org,POINT (-73.9932713 40.7385275),234,Union Sq
173,92,New York,223,10016.0,5th Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9873576 40.7440374),40.7440374,-73.9873576,Museum of Sex,"Mo-Th, Su 10:30-22:00; Fr, Sa 10:30-23:00",museum,https://www.museumofsex.com/,POINT (-73.9873576 40.7440374),234,Union Sq
174,93,New York,11,10010.0,East 26th Street,"Award winning museum that highlights the role of mathematics in illuminating the patterns and structures all around us. Its dynamic exhibits, gallery, and programs are designed to stimulate inquiry, spark curiosity, and reveal the wonders of mathematics.",POINT (-73.9873437 40.7432428),40.7432428,-73.9873437,National Museum of Mathematics,Mo-Su 10:00-17:00,museum,https://momath.org/,POINT (-73.9873437 40.7432428),234,Union Sq
195,76,New York,11,10010.0,Madison Avenue,,POINT(-73.98802066091562 40.7422926162491),40.74229262,-73.98802066,Madison Square Park,Mo-Su 06:00- 23:00,park,http://www.madisonsquarepark.org/,POINT (-73.98802066091562 40.7422926162491),234,Union Sq
39,97,New York,38,10021.0,East 70th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.965721 40.7700521),40.7700521,-73.965721,Michael Altman Fine Art,Mo-Fr 10:00-17:00; PH off,gallery,https://mnafineart.com/,POINT (-73.965721 40.7700521),237,Upper East Side South
159,46,New York,725,10021.0,Park Avenue,,POINT (-73.96445564742066 40.77016065413637),40.77016065,-73.96445565,Asia Society and Museum,Tu-Su 11:00-17:00,museum,http://asiasociety.org/new-york,POINT (-73.96445564742066 40.77016065413637),237,Upper East Side South
177,98,New York,128,10065.0,East 63rd Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.966827 40.7648187),40.7648187,-73.966827,Society of Illustrators,We-Sa 11:00-17:00,museum,https://societyillustrators.org/,POINT (-73.966827 40.7648187),237,Upper East Side South
178,99,New York,945,10021.0,Madison Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9639898 40.7734755),40.7734755,-73.9639898,Frick Madison,Th-Su 10:00-18:00,museum,https://www.frick.org/,POINT (-73.9639898 40.7734755),237,Upper East Side South
40,100,New York,18,10024.0,W 86th Street,,POINT(-73.970707215744 40.78591623075336),40.78591623,-73.97070722,Bard Graduate Center Gallery,We 11:00-20:00; Th-Su 11:00-17:00,gallery,http://www.bgc.bard.edu/,POINT (-73.970707215744 40.78591623075336),238,Upper West Side North
41,106,New York,515,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.004588 40.7489761),40.7489761,-74.004588,Gladstone Gallery,Tu-sa 10:00-18:00,gallery,https://gladstonegallery.com,POINT (-74.004588 40.7489761),246,West Chelsea/Hudson Yards
42,108,New York,555,10011.0,West 21st Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0075391 40.7475429),40.7475429,-74.0075391,303 Gallery,Tu-Sa 11:00-17:00,gallery,https://www.303gallery.com,POINT (-74.0075391 40.7475429),246,West Chelsea/Hudson Yards
43,109,New York,540,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0049685 40.7495759),40.7495759,-74.0049685,Pace Gallery,Tu-Sa 10:00-18:00,gallery,https://www.pacegallery.com/galleries/new-york/,POINT (-74.0049685 40.7495759),246,West Chelsea/Hudson Yards
44,110,New York,500A,10011.0,West 21st Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0054994 40.7464281),40.7464281,-74.0054994,Nohra Haime Gallery,Tu-Sa 10:00-18:00,gallery,https://nohrahaimegallery.com,POINT (-74.0054994 40.7464281),246,West Chelsea/Hudson Yards
45,111,New York,534,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0044964 40.7501321),40.7501321,-74.0044964,Mitchell-Innes & Nash Art Gallery,Tu-Sa 10:00-18:00,gallery,https://www.miandn.com,POINT (-74.0044964 40.7501321),246,West Chelsea/Hudson Yards
46,112,New York,526,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0041806 40.7500174),40.7500174,-74.0041806,Rick Wester Fine Art,We-Sa 11:00-18:00,gallery,https://www.rickwesterfineart.com,POINT (-74.0041806 40.7500174),246,West Chelsea/Hudson Yards
