,id,addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,longitude,name,opening_hours,tags,website,coordinates,location_id,zone
194,73,New York,,10025.0,W 101st St,,POINT( -73.96711576580026 40.80985511359879),40.8098551,-73.96711577,Riverside Park,Mo-Su 06:00-01:00,park,https://www.nycgovparks.org/parks/riverside-park,POINT (-73.96711576580026 40.80985511359879),166,Morningside Heights
140,4,New York,39,10280.0,Battery Place,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0177051 40.7057229),40.7057229,-74.0177051,Skyscraper Museum,Th-Sa 12:00-18:00,museum,https://skyscraper.org/,POINT (-74.0177051 40.7057229),13,Battery Park City
141,6,New York,319,10025.0,West 107th Street,,POINT (-73.96896876849017 40.803080270673874),40.80308027,-73.96896877,Nicholas Roerich Museum,Tu-Fr 12:00-16:00 Sa-Su; 12:00-17:00,museum,https://www.roerich.org/,POINT (-73.96896876849017 40.803080270673874),24,Bloomingdale
142,9,New York,1000,10028.0,5th Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9634178 40.7793968),40.7793968,-73.9634178,The Metropolitan Museum of Art,10:00-17:00; Fr-Sa 10:00-21:00; We off,museum,https://www.metmuseum.org/,POINT (-73.9634178 40.7793968),43,Central Park
189,11,New York,,,Central Park,,POINT(-73.96557267440741 40.782765890103136),40.78276589,-73.96557267,Central Park,Mo-Su 06:00- 01:00,park,https://www.centralparknyc.org/,POINT (-73.96557267440741 40.782765890103136),43,Central Park
207,10,New York,,10021.0,East 64th Street,,POINT (-73.97185496091448 40.76803799061872),40.76803799,-73.97185496,Central Park Zoo,Mo-Su 10:00-16:30,zoo,http://www.centralparkzoo.com/,POINT (-73.97185496091448 40.76803799061872),43,Central Park
143,13,New York,215,10013.0,Central Street,,POINT (-73.99901233484601 40.71951053755542),40.71951054,-73.99901233,Museum of Chinese in America,Sa 10:00-18:00,museum,https://www.mocanyc.org/,POINT (-73.99901233484601 40.71951053755542),144,Little Italy/NoLiTa
161,49,New York,215,10013.0,Centre Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9990481 40.7194172),40.7194172,-73.9990481,Museum of Chinese in America,"Tu, We, Fr-Su 11:00-18:00; Th 11:00-21:00",museum,https://www.mocanyc.org,POINT (-73.9990481 40.7194172),144,Little Italy/NoLiTa
162,50,New York,558,10012.0,Broadway,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9979055 40.7238654),40.7238654,-73.9979055,Museum of Ice Cream,"Mo, We, Th, Su 10:00-19:00; Fr, Sa 10:00-20:30",museum,https://www.museumoficecream.com/new-york-city,POINT (-73.9979055 40.7238654),144,Little Italy/NoLiTa
144,15,New York,86,10036.0,West 46th Street,"Museum of Marine, Aircraft and Space",POINT (-73.9995256 40.7645198),40.7645198,-73.9995256,Intrepid Museum,Mo-Su 10:00-17:00,museum,https://www.intrepidmuseum.org/,POINT (-73.9995256 40.7645198),50,Clinton West
145,18,New York,1230,10029.0,5th Ave,,POINT (-73.95136338790059 40.793305089024614),40.79330509,-73.95136339,El Museo del Barrio,Th-Su 11:00-17:00,museum,https://www.elmuseo.org/,POINT (-73.95136338790059 40.793305089024614),75,East Harlem South
146,19,New York,1220,10029.0,5th Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9519079 40.792506),40.792506,-73.9519079,Museum of the City of New York,Fr-Mo 10:00-17:00; Th 10:00-21:00,museum,https://www.mcny.org/,POINT (-73.9519079 40.792506),75,East Harlem South
147,20,New York,1280,10029.0,5th Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9493338 40.7963422),40.7963422,-73.9493338,The Africa Center,Su-Th 12:00-20:00,museum,https://www.theafricacenter.org/,POINT (-73.9493338 40.7963422),75,East Harlem South
148,24,New York,12,10038.0,Fulton Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0036758 40.706628),40.706628,-74.0036758,South Street Seaport Museum,We-Su 11:00-17:00,museum,https://southstreetseaportmuseum.org/,POINT (-74.0036758 40.706628),87,Financial District North
149,26,New York,54,10004.0,Pearl Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0113536 40.7033867),40.7033867,-74.0113536,Fraunces Tavern Museum,We-Su 12:00-17:00,museum,https://www.frauncestavernmuseum.org/,POINT (-74.0113536 40.7033867),88,Financial District South
150,27,New York,1,10004.0,Bowling Green,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0137472 40.7040265),40.7040265,-74.0137472,National Museum of the American Indian,Mo-Su 10:00-17:00,museum,https://americanindian.si.edu/,POINT (-74.0137472 40.7040265),88,Financial District South
151,28,New York,119,10011.0,West 23rd Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9933334 40.7435904),40.7435904,-73.9933334,Poster House,"We-Mo 11:00-18:00, Tu off",museum,https://posterhouse.org/,POINT (-73.9933334 40.7435904),90,Flatiron
152,29,New York,150,10011.0,West 17th Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9977377 40.7400959),40.7400959,-73.9977377,Rubin Museum of Art,"Mo 11:00-17:00, Sa,Su 11:00-18:00; We 11:00-21:00, Th 11:00-17:00, Fr 11:00-22:00",museum,http://rubinmuseum.org/,POINT (-73.9977377 40.7400959),90,Flatiron
153,32,New York,29,10003.0,East 4th Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9923438 40.7276576),40.7276576,-73.9923438,Merchant's House Museum,Sep-May Th-Su 13:00-17:00; Jun-Aug We-Su 13:00-17:00; PH off,museum,https://merchantshouse.org/,POINT (-73.9923438 40.7276576),113,Greenwich Village North
155,37,New York,898,10032.0,St Nicholas Avenue,,POINT (-73.94120073207611 40.83060499427437),40.83060499,-73.94120073,Sugar Hill Children's Museum of Art & Storytelling,"Th 17:30-20:00, Sa-Sun 10:00-15:00",museum,http://www.sugarhillmuseum.org/,POINT (-73.94120073207611 40.83060499427437),116,Hamilton Heights
205,8,New York,466,10031.0,W 152nd Street,,POINT (-73.94366653022809 40.82939533227008),40.82939533,-73.94366653,"Dance Theatre of Harlem
","Th-Fr 09:30-19:00, Su 9:30-5:30, Mo 9:30-19:00",theatre,https://www.dancetheatreofharlem.org/,POINT (-73.94366653022809 40.82939533227008),116,Hamilton Heights
158,42,New York,4881,10034.0,Broadway,Museum in the city's only remaining Dutch colonial farmhouse (built circa 1764) and its garden.,POINT (-73.9228859 40.8673822),40.8673822,-73.9228859,Dyckman Farmhouse Museum,Th-Sa 11:00-16:00; Su 11:00-15:00,museum,https://dyckmanfarmhouse.org/,POINT (-73.9228859 40.8673822),127,Inwood
160,47,New York,290,10023.0,Columbus Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9781357 40.7786086),40.7786086,-73.9781357,NYC Barber Shop Museum,Tu-Fr 10:00-19:00; Sa 10:00-18:00; Su 11:00-17:00,museum,https://www.nycbarbershopmuseum.com/,POINT (-73.9781357 40.7786086),142,Lincoln Square East
166,67,New York,99,10014.0,Gansevoort Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0089385 40.739633),40.739633,-74.0089385,Whitney Museum of American Art,"We-Th, Sa-Mo 10:30-18:00; Fr 10:30-22:00",museum,https://www.whitney.org/,POINT (-74.0089385 40.739633),158,Meatpacking/West Village West
168,70,New York,2,10019.0,Columbus Circle,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9820053 40.7673824),40.7673824,-73.9820053,Museum of Arts and Design,"Tu, We, Fr-Su 10:00-18:00; Th 10:00-21:00",museum,https://www.madmuseum.org/,POINT (-73.9820053 40.7673824),163,Midtown North
169,74,New York,225,10016.0,Madison Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9814793 40.7491907),40.7491907,-73.9814793,The Morgan Library & Museum,Tu-Su 10:00-17:30,museum,https://www.themorgan.org/,POINT (-73.9814793 40.7491907),170,Murray Hill
170,75,New York,227,10010.0,W 27th Street,,POINT (-73.99426907354918 40.74668799155961),40.74668799,-73.99426907,The Museum at FIT,We-Fr 12:00-20:00; Sa-Su 10:00-17:00,museum,http://www.fitnyc.edu/museum,POINT (-73.99426907354918 40.74668799155961),186,Penn Station/Madison Sq West
175,95,New York,1071,10128.0,5th Avenue,Hint: Saturdays 18:00-20:00 Pay-What-You-Wish Admission,POINT (-73.9588842 40.7829919),40.7829919,-73.9588842,Guggenheim Museum,"Mo, We-Fr, Su 11:00-18:00; Th off; Sa 11:00-20:00",museum,https://www.guggenheim.org/new-york,POINT (-73.9588842 40.7829919),236,Upper East Side North
176,96,New York,1109,10128.0,5th Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.957186 40.7854051),40.7854051,-73.957186,The Jewish Museum,"Mo, Tu, Sa, Su 11:00-17:45; Th 11:00-20:00; Fr 11:00-16:00",museum,https://thejewishmuseum.org,POINT (-73.957186 40.7854051),236,Upper East Side North
179,101,New York,212,10024.0,West 83rd Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9773343 40.7858798),40.7858798,-73.9773343,Children's Museum of Manhattan,Su-Fr 10:00-17:00; Sa 10:00-19:00,museum,https://www.cmom.org/,POINT (-73.9773343 40.7858798),239,Upper West Side South
180,102,New York,180,10024.0,Central Park West,"The American Museum of Natural History is a natural history museum on the Upper West Side of Manhattan in New York City. In Theodore Roosevelt Park, across the street from Central Park, the museum complex comprises 26 interconnected buildings housing 45 p",POINT (-73.974211 40.7810986),40.7810986,-73.974211,American Museum of Natural History,Mo-Su 10:00-17:30,museum,https://www.amnh.org/,POINT (-73.974211 40.7810986),239,Upper West Side South
181,103,New York,200,10024.0,Central Park West,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9733215 40.7813974),40.7813974,-73.9733215,Hayden Planetarium,Mo-Su 10:00-17:30,museum,https://haydenplanetarium.org/,POINT (-73.9733215 40.7813974),239,Upper West Side South
182,104,New York,99,10040.0,Margaret Corbin Drive,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9319228 40.8648684),40.8648684,-73.9319228,The Met Cloisters,Th-Tu 10:00-16:30,museum,https://www.metmuseum.org/visit/plan-your-visit/met-cloisters,POINT (-73.9319228 40.8648684),243,Washington Heights North
183,105,New York,613,10032.0,W 155th Street,,POINT (-73.94620040119585 40.83397364695048),40.83397365,-73.9462004,"Hispanic Society Museum & Library
",Th-Su 12:00-17:00,museum,http://www.hispanicsociety.org/,POINT (-73.94620040119585 40.83397364695048),244,Washington Heights South
185,205,New York,180,10007.0,Greenwich Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0127418 40.711456),40.711456,-74.0127418,9/11 Memorial & Museum,Mo-Th 09:00-20:00; Fr-Sa 09:00-21:00; Su 09:00-20:00,museum,https://www.911memorial.org/,POINT (-74.0127418 40.711456),261,World Trade Center
186,206,New York,92,10006.0,Greenwich Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0137633 40.7079432),40.7079432,-74.0137633,9/11 Tribute Museum,Mo-Sa 10:00-18:00; Su 10:00-17:00,museum,https://911tributemuseum.org/,POINT (-74.0137633 40.7079432),261,World Trade Center
202,25,New York,185,10007.0,Greenwich Street,,POINT(-74.01120542039087 40.71220927158285),40.71220927,-74.01120542,Westfield World Trade Center,Mo-Sa 10:00-20:00; Su 10:00-19:00,shopping,https://www.westfield.com/westfieldworldtradecenter,POINT (-74.01120542039087 40.71220927158285),261,World Trade Center
188,3,New York,,10004.0,Battery Park,,POINT(-74.01537862233573 40.703583270284206),40.70358327,-74.01537862,The Battery ,Mo-Su 6:00-00:00,park,https://www.thebattery.org/,POINT (-74.01537862233573 40.703583270284206),12,Battery Park
190,12,New York,,10013.0,Mulberry Street & Baxter Street,,POINT (-74.00005303208148 40.71570487920854),40.71570488,-74.00005303,"Columbus Park
",Mo-Su 6:00-10:00,park,https://www.nycgovparks.org/parks/columbus-park-m015,POINT (-74.00005303208148 40.71570487920854),45,Chinatown
191,38,New York,,10040.0,"W 190th St &, Amsterdam Ave",,POINT (-73.92566291430934 40.85407238455946),40.85407238,-73.92566291,Highbridge Park,Mo-Su 6:00-23:00,park,https://www.nycgovparks.org/parks/highbridge-park,POINT (-73.92566291430934 40.85407238455946),120,Highbridge Park
192,43,New York,,10034.0,"Payson Avenue. &, Seaman Avenue",,POINT (-73.92478673207417 40.87232078946028),40.87232079,-73.92478673,Inwood Hill Park,Mo-Su 06:00- 01:00,park,https://www.nycgovparks.org/parks/inwood-hill-park,POINT (-73.92478673207417 40.87232078946028),128,Inwood Hill Park
193,45,New York,,10022.0,"E. 60th Street &, FDR Drive",,POINT (-73.95743298975025 40.75982795658405),40.75982796,-73.95743299,Andrew Haswell Green Park,Mo 06:00-01:00; Tu-Sa 06:00-23:00; Su 06:00-00:00,park,https://www.nycgovparks.org/parks/andrew-haswell-green-park,POINT (-73.95743298975025 40.75982795658405),140,Lenox Hill East
196,77,New York,,10035.0,"East River and, Hell Gate Cir",,POINT (-73.92927484483064 40.784524418324246),40.78452442,-73.92927484,Wards Island Park,Mo-Su 06:00-01:00,park,http://www.nycgovparks.org/parks/wards-island-park,POINT (-73.92927484483064 40.784524418324246),194,Randalls Island
197,78,New York,,10044.0,Roosevelt Island,,POINT(-73.95809228790247 40.752623513431146),40.75262351,-73.95809229,Southpoint Park,Mo-Su 09:00-22:00,park,http://rioc.ny.gov/,POINT (-73.95809228790247 40.752623513431146),202,Roosevelt Island
199,82,New York,500,10022.0,E 57th Street,,POINT (-73.960256728935 40.756828589777264),40.75682859,-73.96025673,Sutton Park,Mo-Su 6:00-21:00,park,https://www.nycgovparks.org/parks/sutton-place-park,POINT (-73.960256728935 40.756828589777264),229,Sutton Place/Turtle Bay North
200,207,New York,,10026.0,"East 86th Street &, East End Avenue",,POINT (-73.9436897424881 40.775346777775155),40.77534678,-73.94368974,Carl Schurz Park,Mo-Su 06:00-00:00,park,http://www.carlschurzparknyc.org/,POINT (-73.9436897424881 40.775346777775155),262,Yorkville East
203,66,New York,50,10463.0,W 225th Street,,POINT (-73.90879641638867 40.873277843259125),40.87327784,-73.90879642,The Shops at Marble Hill,Mo-Su 07:00-00:00,shopping,http://www.theshopsatmarblehill.com/,POINT (-73.90879641638867 40.873277843259125),153,Marble Hill
204,7,New York,253,10027.0,W 125th Street,,POINT (-73.95003454557084 40.81007481450336),40.81007481,-73.95003455,Apollo Theater,"Depends on show time, see website",theatre,https://www.apollotheater.org/,POINT (-73.95003454557084 40.81007481450336),41,Central Harlem
