addr:housenumber,addr:street,addr:city,addr:postcode,description,name,opening_hours,tourism,website,geometry,location_id,zone
350,5th Avenue,New York,10018,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",Empire State Building,Mo-Su 08:00-02:00,attraction,https://www.esbnyc.com/explore,POINT (-73.9856589 40.748442),164,Midtown South
476,5th Avenue,New York,10018,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",New York Public Library,"Mo,Th 08:00-20:00; Tu,We 08:00-21:00; Fr 08:00-18:00; Sa 10:00-18:00; Su 10:00-17:00",attraction,https://www.nypl.org/locations/schwarzman,POINT (-73.9822454 40.7532182),164,Midtown South
225,Madison Avenue,New York,10016,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Morgan Library & Museum,Tu-Su 10:00-17:30,museum,https://www.themorgan.org/,POINT (-73.9814793 40.7491907),170,Murray Hill
141,Prince Street,New York,10012,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Louis K.Meisel Gallery,Mo-Su 10:00-17:00,gallery,https://www.meiselgallery.com/,POINT (-74.0005096 40.7256775),211,SoHo
49,Chambers Street,New York,10007,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Hall des Lumières,10:00-18:00; Tu off; Th-Sa 10:00-22:00,museum,https://www.halldeslumieres.com/,POINT (-74.005072 40.7137437),231,TriBeCa/Civic Center
4,Cortlandt Alley,New York,10013,tiny exhibit space in a disused elevator,Mmuseumm,"Sa-Su 12:00-18:00 open ""Museum"" || 00:00-24:00 open ""Viewing windows""",museum,http://www.mmuseumm.com/,POINT (-74.0028203 40.7173656),231,TriBeCa/Civic Center
57,Walker Street,New York,10013,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,David Lewis Gallery,Tu-Sa 10:00-18:00,gallery,https://www.davidlewisgallery.com/,POINT (-74.0032329 40.7188402),231,TriBeCa/Civic Center
127,Henry Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,FIERMAN,We-Su 12:00-18:00,gallery,https://fierman.nyc,POINT (-73.9912954 40.713402),232,Two Bridges/Seward Park
165,East Broadway,New York,,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Reena Spauldings Fine Art,Th-Su 12:00-18:00,gallery,https://www.reenaspaulings.com/,POINT (-73.9899544 40.7139131),232,Two Bridges/Seward Park
191,Henry Street,New York,10002,Lazy Susan Gallery is a creative project space with a revolving roster of curators and artists. Open January 2016 in the Lower East Side of NYC.,Lazy Susan Gallery,Mo-Su 12:00-18:00,gallery,http://lazysusan.nyc,POINT (-73.9879511 40.7137046),232,Two Bridges/Seward Park
