VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2022-02-01 00:34:02,2022-02-01 00:37:07,3.0,0.68,1.0,N,263,141,1,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5,0.0
2,2022-02-01 00:05:44,2022-02-01 00:09:09,3.0,1.34,1.0,N,68,100,1,5.5,0.5,0.5,1.0,0.0,0.3,10.3,2.5,0.0
2,2022-02-01 00:21:52,2022-02-01 00:26:03,2.0,0.68,1.0,N,68,48,1,5.0,0.5,0.5,4.0,0.0,0.3,12.8,2.5,0.0
2,2022-02-01 00:19:47,2022-02-01 00:31:18,1.0,3.58,1.0,N,230,166,1,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5,0.0
1,2022-02-01 00:26:21,2022-02-01 00:44:03,1.0,3.4,1.0,N,237,79,1,14.0,3.0,0.5,2.0,0.0,0.3,19.8,2.5,0.0
2,2022-02-01 00:33:25,2022-02-01 00:39:13,1.0,1.71,1.0,N,229,263,1,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5,0.0
2,2022-02-01 00:05:33,2022-02-01 00:25:57,1.0,10.16,1.0,N,138,17,1,29.5,0.5,0.5,6.41,0.0,0.3,38.46,0.0,1.25
2,2022-02-01 00:28:29,2022-02-01 00:47:18,2.0,10.75,1.0,N,132,92,2,31.0,0.5,0.5,0.0,0.0,0.3,33.55,0.0,1.25
2,2022-02-01 00:14:06,2022-02-01 00:31:56,1.0,10.33,1.0,N,138,66,1,29.0,0.5,0.5,6.06,0.0,0.3,37.61,0.0,1.25
2,2022-02-01 00:38:00,2022-02-01 00:48:59,1.0,2.97,1.0,N,100,140,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5,0.0
2,2022-02-01 00:19:44,2022-02-01 00:26:22,1.0,1.49,1.0,N,170,161,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
2,2022-02-01 00:35:54,2022-02-01 00:48:59,1.0,2.34,1.0,N,164,142,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5,0.0
2,2022-02-01 00:29:47,2022-02-01 01:05:11,1.0,11.7,1.0,N,132,61,2,35.5,0.5,0.5,0.0,0.0,0.3,38.05,0.0,1.25
2,2022-02-01 00:09:08,2022-02-01 00:12:23,1.0,0.83,1.0,N,237,239,1,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5,0.0
2,2022-02-01 00:25:57,2022-02-01 00:30:48,1.0,0.72,1.0,N,237,237,1,5.5,0.5,0.5,2.0,0.0,0.3,11.3,2.5,0.0
2,2022-02-01 00:14:33,2022-02-01 00:15:29,1.0,0.0,1.0,N,77,76,1,2.5,0.5,0.5,0.0,0.0,0.3,5.05,0.0,1.25
2,2022-02-01 00:18:35,2022-02-01 00:27:52,1.0,2.24,1.0,N,143,237,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5,0.0
1,2022-02-01 00:02:15,2022-02-01 00:11:57,2.0,2.5,1.0,N,144,186,1,10.0,3.0,0.5,2.75,0.0,0.3,16.55,2.5,0.0
1,2022-02-01 00:17:20,2022-02-01 00:20:42,1.0,0.9,1.0,N,186,68,2,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5,0.0
1,2022-02-01 00:22:51,2022-02-01 00:47:23,2.0,7.3,1.0,N,68,42,2,23.5,3.0,0.5,0.0,0.0,0.3,27.3,2.5,0.0
2,2022-02-01 00:00:14,2022-02-01 00:08:32,1.0,2.81,1.0,N,170,75,1,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5,0.0
2,2022-02-01 00:27:57,2022-02-01 01:02:28,3.0,21.72,1.0,N,132,119,2,58.5,0.5,0.5,0.0,6.55,0.3,66.35,0.0,1.25
2,2022-02-01 00:41:25,2022-02-01 00:59:56,2.0,13.86,1.0,N,132,155,2,37.5,0.5,0.5,0.0,0.0,0.3,40.05,0.0,1.25
2,2022-02-01 00:02:07,2022-02-01 00:32:46,1.0,8.4,1.0,N,162,17,2,28.0,0.5,0.5,0.0,0.0,0.3,31.8,2.5,0.0
1,2022-02-01 00:05:46,2022-02-01 00:12:49,1.0,0.8,1.0,N,148,79,1,6.5,2.5,0.5,1.95,0.0,0.3,11.75,2.5,0.0
2,2022-02-01 00:15:03,2022-02-01 00:23:56,1.0,1.06,1.0,N,234,137,1,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5,0.0
