addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,location_id,longitude,name,opening_hours,tags,website,zone,rating
New York,92,10006,Greenwich Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0137633 40.7079432),40.7079432,261,-74.0137633,9/11 Tribute Museum,Mo-Sa 10:00-18:00; Su 10:00-17:00,museum,https://911tributemuseum.org/,World Trade Center,4.5
New York,54,10004,Pearl Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0113536 40.7033867),40.7033867,88,-74.0113536,Fraunces Tavern Museum,We-Su 12:00-17:00,museum,https://www.frauncestavernmuseum.org/,Financial District South,4.5
New York,1,10004,Bowling Green,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0137472 40.7040265),40.7040265,88,-74.0137472,National Museum of the American Indian,Mo-Su 10:00-17:00,museum,https://americanindian.si.edu/,Financial District South,4.5
New York,119,10011,West 23rd Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9933334 40.7435904),40.7435904,90,-73.9933334,Poster House,"We-Mo 11:00-18:00, Tu off",museum,https://posterhouse.org/,Flatiron,4.5
New York,150,10011,West 17th Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9977377 40.7400959),40.7400959,90,-73.9977377,Rubin Museum of Art,"Mo 11:00-17:00, Sa,Su 11:00-18:00; We 11:00-21:00, Th 11:00-17:00, Fr 11:00-22:00",museum,http://rubinmuseum.org/,Flatiron,4.5
New York,234,10036,West 42nd Street,"Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-73.9885078 40.756466),40.756466,100,-73.9885078,Ripley's Believe It or Not!,Mo-Su 09:00-01:00,attraction,https://ripleysnewyork.com,Garment District,4.5
New York,,10004,Statue of Liberty,"Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-74.04448967441175 40.68949342729324),40.68949343,103,-74.04448967,Statue of Liberty,Mo-Su 09:00-17:00,attraction,https://www.nps.gov/stli/index.htm,Governor's Island/Ellis Island/Liberty Island,4.5
New York,29,10003,East 4th Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9923438 40.7276576),40.7276576,113,-73.9923438,Merchant's House Museum,Sep-May Th-Su 13:00-17:00; Jun-Aug We-Su 13:00-17:00; PH off,museum,https://merchantshouse.org/,Greenwich Village North,4.5
New York,526,10012,Laguardia Place,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.99882 40.7284684),40.7284684,114,-73.99882,The Renee and Chaim Gross Foundation,"Th,Fr 13:00-17:00",museum,http://www.rcgrossfoundation.org/,Greenwich Village South,4.5
New York,33,10012,Bleecker Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9937321 40.7257629),40.7257629,114,-73.9937321,Z??rcher Studio,Tu-Sa 12:00-18:00; Su 14:00-18:00,gallery,https://galeriezurcher.com,Greenwich Village South,4.5
